"";"Timestep";"DVS";"W";"dW";"LAI";"WRoots";"WLeaves";"WStems";"WStorageOrgans";"FRoot";"FLeaves";"FStems";"FStorageOrgans";"FAll"
"91";90;1,46630882352941;1796,69978920992;26,627098816363;2,65831864421817;203,178878228803;344,411208602487;664,486281545148;584,123420833482;0;0;0;1;1
"92";91;1,47930882352941;1823,32688802628;17,1305407373351;2,57856908489163;203,178878228803;344,411208602487;664,486281545148;610,750519649845;0;0;0;1;1
"93";92;1,49113235294118;1840,45742876362;19,7274508492487;2,50121201234488;203,178878228803;344,411208602487;664,486281545148;627,88106038718;0;0;0;1;1
"94";93;1,50454411764706;1860,18487961287;18,4662527271861;2,42617565197453;203,178878228803;344,411208602487;664,486281545148;647,608511236429;0;0;0;1;1
"95";94;1,52360294117647;1878,65113234005;28,1808627924625;2,3533903824153;203,178878228803;344,411208602487;664,486281545148;666,074763963615;0;0;0;1;1
"96";95;1,54572058823529;1906,83199513252;27,4475415070171;2,28278867094284;203,178878228803;344,411208602487;664,486281545148;694,255626756078;0;0;0;1;1
"97";96;1,56948529411765;1934,27953663953;30,3216311416101;2,21430501081455;203,178878228803;344,411208602487;664,486281545148;721,703168263095;0;0;0;1;1
"98";97;1,59442647058824;1964,60116778114;31,8879765174677;2,14787586049012;203,178878228803;344,411208602487;664,486281545148;752,024799404705;0;0;0;1;1
"99";98;1,61407352941176;1996,48914429861;24,1773199432198;2,08343958467541;203,178878228803;344,411208602487;664,486281545148;783,912775922173;0;0;0;1;1
"100";99;1,63172058823529;2020,66646424183;13,6171116878132;2,02093639713515;203,178878228803;344,411208602487;664,486281545148;808,090095865393;0;0;0;1;1
"101";100;1,64583823529412;2034,28357592964;17,9163644929224;1,9603083052211;203,178878228803;344,411208602487;664,486281545148;821,707207553206;0;0;0;1;1
"102";101;1,66236764705882;2052,19994042257;22,3999924702831;1,90149905606446;203,178878228803;344,411208602487;664,486281545148;839,623572046128;0;0;0;1;1
"103";102;1,67777941176471;2074,59993289285;22,9180059290303;1,84445408438253;203,178878228803;344,411208602487;664,486281545148;862,023564516411;0;0;0;1;1
"104";103;1,69272058823529;2097,51793882188;7,83961222262858;1,78912046185105;203,178878228803;344,411208602487;664,486281545148;884,941570445442;0;0;0;1;1
"105";104;1,70413235294118;2105,35755104451;11,3741700022251;1,73544684799552;203,178878228803;344,411208602487;664,486281545148;892,78118266807;0;0;0;1;1
"106";105;1,71772058823529;2116,73172104673;23,4775380448718;1,68338344255566;203,178878228803;344,411208602487;664,486281545148;904,155352670295;0;0;0;1;1
"107";106;1,73307352941176;2140,2092590916;21,8660472773328;1,63288193927899;203,178878228803;344,411208602487;664,486281545148;927,632890715167;0;0;0;1;1
"108";107;1,75183823529412;2162,07530636894;21,2658293300016;1,58389548110062;203,178878228803;344,411208602487;664,486281545148;949,4989379925;0;0;0;1;1
"109";108;1,76913235294118;2183,34113569894;13,141270989399;1,5363786166676;203,178878228803;344,411208602487;664,486281545148;970,764767322501;0;0;0;1;1
"110";109;1,78507352941177;2196,48240668834;6,42970235220344;1,49028725816757;203,178878228803;344,411208602487;664,486281545148;983,9060383119;0;0;0;1;1
"111";110;1,79736764705882;2202,91210904054;14,9219088324762;1,44557864042254;203,178878228803;344,411208602487;664,486281545148;990,335740664104;0;0;0;1;1
"112";111;1,80695588235294;2217,83401787302;19,0918256308924;1,40221128120987;203,178878228803;344,411208602487;664,486281545148;1005,25764949658;0;0;0;1;1
"113";112;1,81701470588235;2236,92584350391;24,0262832178527;1,36014494277357;203,178878228803;344,411208602487;664,486281545148;1024,34947512747;0;0;0;1;1
"114";113;1,82972058823529;2260,95212672176;5,76631589243602;1,31934059449036;203,178878228803;344,411208602487;664,486281545148;1048,37575834533;0;0;0;1;1
"115";114;1,84266176470588;2266,7184426142;19,7702978410132;1,27976037665565;203,178878228803;344,411208602487;664,486281545148;1054,14207423776;0;0;0;1;1
"116";115;1,85683823529412;2286,48874045521;22,3409040403426;1,24136756535598;203,178878228803;344,411208602487;664,486281545148;1073,91237207877;0;0;0;1;1
"117";116;1,87266176470588;2308,82964449555;22,6675724350846;1,2041265383953;203,178878228803;344,411208602487;664,486281545148;1096,25327611912;0;0;0;1;1
"118";117;1,89177941176471;2331,49721693064;17,2488715271441;1,16800274224344;203,178878228803;344,411208602487;664,486281545148;1118,9208485542;0;0;0;1;1
"119";118;1,91266176470588;2348,74608845778;4,25063795026659;1,13296265997614;203,178878228803;344,411208602487;664,486281545148;1136,16972008135;0;0;0;1;1
"120";119;1,92660294117647;2352,99672640805;3,52620451763423;1,09897378017686;203,178878228803;344,411208602487;664,486281545148;1140,42035803161;0;0;0;1;1
"121";120;1,93901470588235;2356,52293092568;1,30844961735306;1,06600456677155;203,178878228803;344,411208602487;664,486281545148;1143,94656254925;0;0;0;1;1
"122";121;1,95077941176471;2357,83138054304;3,25107774228305;1,0340244297684;203,178878228803;344,411208602487;664,486281545148;1145,2550121666;0;0;0;1;1
"123";122;1,96548529411765;2361,08245828532;15,9848524596716;1,00300369687535;203,178878228803;344,411208602487;664,486281545148;1148,50608990888;0;0;0;1;1
"124";123;1,98025;2377,06731074499;15,9130485922911;0,972913585969092;203,178878228803;344,411208602487;664,486281545148;1164,49094236855;0;0;0;1;1
"125";124;1,99495588235294;2392,98035933728;16,8734769538835;0,943726178390019;203,178878228803;344,411208602487;664,486281545148;1180,40399096085;0;0;0;1;1
"126";125;2,01077941176471;2409,85383629117;0;0,915414393038319;203,178878228803;344,411208602487;664,486281545148;1197,27746791473;0;0;0;0;0
